Codigo_CUOC,Nombre_Ocupacion,Nivel_Competencia
42210,Empleados de ventas y servicios de viajes / Empleadas de ventas y servicios de viajes,2
42220,Empleados de centros de llamadas / Empleadas de centros de llamadas,2
42230,Telefonistas,2
42240,Recepcionistas de hoteles,2
42251,Auxiliares de información y servicio al cliente,2
42252,Informadores turísticos / Informadoras turísticas,2
42260,Recepcionistas generales,2
42270,Entrevistadores de encuestas y de investigaciones de mercados / Entrevistadoras de encuestas y de investigaciones de mercados,2
42291,Auxiliares administrativos en salud / Auxiliares administrativas en salud,2
42299,Otros empleados de servicios de información al cliente no clasificados en otras ocupaciones / Otras empleadas de servicios de información al cliente no clasificados en otras ocupaciones,2
43110,"Auxiliares de contabilidad, costos y tesorería",2
43121,Auxiliares de servicios estadísticos y financieros,2
43122,Auxiliares de avalúos,2
43130,Auxiliares de nómina y prestaciones,2
43211,Auxiliares de almacén y pesaje,2
43212,Auxiliares de compras e inventarios,2
43220,Empleados de servicios de apoyo a la producción / Empleadas de servicios de apoyo a la producción,2
43231,Empleados y operarios de servicios de transporte / Empleadas y operarias de servicios de transporte,2
43232,Inspectores y controladores de transporte / Inspectoras y controladoras de transporte,3
